RespondentID,Purchased response?,Source,L1 Eng?,L1s,Other Ls,Country,Age,Gender,years Eng,Eng residence,1stOr2ndResponse,What is happening?
5178099182,yes,NSv2pt2,Yes,,French,Haiti,49,female,,USA,2,0
5178098888,yes,NSv2pt2,Yes,,,USA,24,female,,,1,0
5178098888,yes,NSv2pt2,Yes,,,USA,24,female,,,2,0
5178095802,yes,NSv2pt2,Yes,,,USA,19,female,,USA 19 years,1,0
5178095802,yes,NSv2pt2,Yes,,,USA,19,female,,USA 19 years,2,0
5178090288,yes,NSv2pt2,Yes,,,America,69,female,,USA 69 years,1,0
5178090288,yes,NSv2pt2,Yes,,,America,69,female,,USA 69 years,2,0
5178088418,yes,NSv2pt2,Yes,,,,32,female,,,1,0
5178088418,yes,NSv2pt2,Yes,,,,32,female,,,2,0
5178088087,yes,NSv2pt2,No,"Arabic, French",,Egypt,21,female,8 - 10 years,None,1,0
5178088087,yes,NSv2pt2,No,"Arabic, French",,Egypt,21,female,8 - 10 years,None,2,0
5178085609,yes,NSv2pt2,Yes,,,USA,26,female,,USA 26 years,1,0
5178085609,yes,NSv2pt2,Yes,,,USA,26,female,,USA 26 years,2,0
5178083842,yes,NSv2pt2,Yes,,Afrikaans,South Africa,54,female,,"South Africa 37 years, USA 17 years",1,0
5178083842,yes,NSv2pt2,Yes,,Afrikaans,South Africa,54,female,,"South Africa 37 years, USA 17 years",2,0
5178081586,yes,NSv2pt2,Yes,,,USA,62,male,,USA 62 years,1,0
5178081586,yes,NSv2pt2,Yes,,,USA,62,male,,USA 62 years,2,0
5178078402,yes,NSv2pt2,Yes,,,USA,35,female,,,1,0
5178078402,yes,NSv2pt2,Yes,,,USA,35,female,,,2,0
5178077635,yes,NSv2pt2,Yes,,,USA,58,male,,USA,1,0
5178077635,yes,NSv2pt2,Yes,,,USA,58,male,,USA,2,0
5178075015,yes,NSv2pt2,Yes,,,USA,46,female,,USA 46 years  ,1,0
5178075015,yes,NSv2pt2,Yes,,,USA,46,female,,USA 46 years  ,2,0
5178073530,yes,NSv2pt2,Yes,,,India,37,male,,India 25 years,1,0
5178073530,yes,NSv2pt2,Yes,,,India,37,male,,India 25 years,2,0
5178073123,yes,NSv2pt2,Yes,,,USA,71,female,,,1,0
5178073123,yes,NSv2pt2,Yes,,,USA,71,female,,,2,0
5178072626,yes,NSv2pt2,Yes,,,USA,47,male,,USA 47 years,1,0
5178072626,yes,NSv2pt2,Yes,,,USA,47,male,,USA 47 years,2,0
5178072327,yes,NSv2pt2,Yes,,,USA,45,female,,USA 45 years,1,0
5178072327,yes,NSv2pt2,Yes,,,USA,45,female,,USA 45 years,2,0
